component,body_site_a,body_site_b,absolute_cosine_similarity
1,1,10,0.9973503087541948
1,1,11,0.9988562115521714
1,1,12,0.9535240007940134
1,1,2,0.9980539607631314
1,1,3,0.9984911500796805
1,1,4,0.9919217864170561
1,1,5,0.9962853434585413
1,1,6,0.998146712399163
1,1,7,0.9860868804526203
1,1,8,0.9997048692243511
1,1,9,0.9979730175073834
1,10,11,0.9992359296266226
1,10,12,0.9323408910766049
1,10,2,0.9953294992344315
1,10,3,0.9953069430161603
1,10,4,0.9816822656123118
1,10,5,0.9902921981559915
1,10,6,0.9939570387953752
1,10,7,0.9953364072356089
1,10,8,0.9978072163330706
1,10,9,0.992280808564236
1,11,12,0.9448329922346267
1,11,2,0.9978461124324928
1,11,3,0.9976557027520258
1,11,4,0.9877193920803564
1,11,5,0.9944616110637972
1,11,6,0.9970342240175197
1,11,7,0.992189021472794
1,11,8,0.9990129102674384
1,11,9,0.9957754349356677
1,12,2,0.9613518208834692
1,12,3,0.9608785611472024
1,12,4,0.9836841335194009
1,12,5,0.9722709313884522
1,12,6,0.9657744451580089
1,12,7,0.9001674474980476
1,12,8,0.9518009670759104
1,12,9,0.9688498784713149
1,2,3,0.9996556726076937
1,2,4,0.9943810924478812
1,2,5,0.9985325917584429
1,2,6,0.9997528952187614
1,2,7,0.9844051829194445
1,2,8,0.9984049519713806
1,2,9,0.9988989108983437
1,3,4,0.9946762903789788
1,3,5,0.998751014313988
1,3,6,0.999698862348555
1,3,7,0.9831946482693033
1,3,8,0.9989893171495025
1,3,9,0.9992877832105147
1,4,5,0.9981557142807436
1,4,6,0.996265688513011
1,4,7,0.9614315452917787
1,4,8,0.9913337381642444
1,4,9,0.9974391398600841
1,5,6,0.9992957789780864
1,5,7,0.9750600418330168
1,5,8,0.9964057819402601
1,5,9,0.999415906561499
1,6,7,0.9810340208686428
1,6,8,0.9983414324405134
1,6,9,0.9996535406907627
1,7,8,0.9869891264665643
1,7,9,0.9772796411646014
1,8,9,0.997936761020464
2,1,10,0.9965876872977013
2,1,11,0.9825423463195013
2,1,12,0.8473725765193728
2,1,2,0.9443682895793412
2,1,3,0.9447141682998712
2,1,4,0.9666171831178048
2,1,5,0.9094580906619478
2,1,6,0.9718314930381263
2,1,7,0.9818702355294234
2,1,8,0.9941155589760646
2,1,9,0.9258790479179443
2,10,11,0.9889531383714879
2,10,12,0.8391172312087412
2,10,2,0.9517063326432513
2,10,3,0.9527243241287918
2,10,4,0.9624779966915424
2,10,5,0.9176951808105137
2,10,6,0.9735189509113479
2,10,7,0.990180402352572
2,10,8,0.993410633284293
2,10,9,0.9327514910683041
2,11,12,0.8937810967397121
2,11,2,0.9814975848649774
2,11,3,0.9828597458198163
2,11,4,0.9797250573837053
2,11,5,0.9606383836214588
2,11,6,0.9872125443698884
2,11,7,0.9714710659676498
2,11,8,0.9870534885997879
2,11,9,0.9686796565503023
2,12,2,0.935245441653224
2,12,3,0.9468970892092523
2,12,4,0.941536256112777
2,12,5,0.9488210289936564
2,12,6,0.9057758649970092
2,12,7,0.7684001203206248
2,12,8,0.8534697668300686
2,12,9,0.9402820699917694
2,2,3,0.9934221408182774
2,2,4,0.988348662161588
2,2,5,0.9933315393596863
2,2,6,0.9909265707223589
2,2,7,0.9234267578498211
2,2,8,0.9599878376357834
2,2,9,0.996906326374761
2,3,4,0.9833700962601664
2,3,5,0.9877628320306756
2,3,6,0.9789729561306866
2,3,7,0.9170009493687158
2,3,8,0.952660665328922
2,3,9,0.9880125018813838
2,4,5,0.9759015032166236
2,4,6,0.9929861168995707
2,4,7,0.926865341214463
2,4,8,0.9734884464069538
2,4,9,0.9840466074738659
2,5,6,0.9754871391526431
2,5,7,0.8836742402695748
2,5,8,0.9320325895908383
2,5,9,0.9977430672395561
2,6,7,0.9535256104633049
2,6,8,0.985406669424964
2,6,9,0.9853912820843278
2,7,8,0.983829007587239
2,7,9,0.9015903822984259
2,8,9,0.9462065916605622
3,1,10,0.9804675709752867
3,1,11,0.9473875025207523
3,1,12,0.9006054524110217
3,1,2,0.8697640352385135
3,1,3,0.9143315767159758
3,1,4,0.9214755761347633
3,1,5,0.8658538714476541
3,1,6,0.9272552430359834
3,1,7,0.986872766257879
3,1,8,0.9660083058703721
3,1,9,0.8624295196345876
3,10,11,0.917224802342717
3,10,12,0.8902538774830692
3,10,2,0.9353602664462412
3,10,3,0.9509197173291853
3,10,4,0.9671774366132357
3,10,5,0.9196117000474934
3,10,6,0.9739041320101203
3,10,7,0.9930259806294974
3,10,8,0.99495301923444
3,10,9,0.9060349631810406
3,11,12,0.925239885904887
3,11,2,0.8455682178734892
3,11,3,0.8880359323422521
3,11,4,0.8976205887357416
3,11,5,0.8680578461221309
3,11,6,0.8997703002128995
3,11,7,0.903061953030314
3,11,8,0.920084144520089
3,11,9,0.9094690759395485
3,12,2,0.8918428457287745
3,12,3,0.9419620892037568
3,12,4,0.9049798650607653
3,12,5,0.9119564847474027
3,12,6,0.8958359286641289
3,12,7,0.8734927965751385
3,12,8,0.8781977592869732
3,12,9,0.9015386271283364
3,2,3,0.9794197370214068
3,2,4,0.9893508228760193
3,2,5,0.9889035376407643
3,2,6,0.9869918849417784
3,2,7,0.8994246291400327
3,2,8,0.9454816857358445
3,2,9,0.9667553341148152
3,3,4,0.9797569312928543
3,3,5,0.9769361594793814
3,3,6,0.9776294746353488
3,3,7,0.9238766219019886
3,3,8,0.9485955727875738
3,3,9,0.9513375272736554
3,4,5,0.9810044772031454
3,4,6,0.99813736477621
3,4,7,0.9412270611544129
3,4,8,0.9769474894144623
3,4,9,0.9719345748281022
3,5,6,0.9782074006622308
3,5,7,0.8821509938583244
3,5,8,0.931112030430446
3,5,9,0.9822655448146654
3,6,7,0.9475409890291633
3,6,8,0.9832139877643287
3,6,9,0.9688751657801898
3,7,8,0.9821030972374648
3,7,9,0.8627284213820392
3,8,9,0.9282949783725993
