acquisition_order,unique_review_order,canonical_key,title,year,doi,claim_ids_json,minimum_claim_rank,openalex_http_status,crossref_http_status,europe_pmc_http_status,openalex_raw_path,crossref_raw_path,europe_pmc_raw_path,openalex_found,openalex_id,openalex_is_oa,openalex_oa_status,openalex_best_oa_url,openalex_best_landing_url,openalex_best_pdf_url,openalex_license,openalex_locations_json,openalex_abstract_available,crossref_found,crossref_publisher_url,crossref_abstract_available,crossref_license_urls_json,crossref_link_candidates_json,europe_pmc_found,europe_pmc_id,europe_pmc_pmcid,europe_pmc_has_full_text,europe_pmc_is_open_access,europe_pmc_full_text_url,europe_pmc_abstract_available,route_resolution_state,selected_route,selected_source_url,selected_source_format,manual_review_status,route_validation_status,source_acquisition_status,notes
1,2,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001.0,10.1046/j.0022-202x.2001.01577.x,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",1,200,200,200,analysis/prior_art/acquisition/route_resolution_raw/paper-002/openalex.json,analysis/prior_art/acquisition/route_resolution_raw/paper-002/crossref.json,analysis/prior_art/acquisition/route_resolution_raw/paper-002/europe_pmc.json,True,https://openalex.org/W2089724274,True,bronze,http://www.jidonline.org/article/S0022202X15414836/pdf,https://doi.org/10.1046/j.0022-202x.2001.01577.x,http://www.jidonline.org/article/S0022202X15414836/pdf,,"[{""is_oa"":""true"",""landing_page_url"":""https://doi.org/10.1046/j.0022-202x.2001.01577.x"",""license"":"""",""pdf_url"":""http://www.jidonline.org/article/S0022202X15414836/pdf"",""version"":""publishedVersion""},{""is_oa"":""false"",""landing_page_url"":""https://pubmed.ncbi.nlm.nih.gov/11886508"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""}]",False,True,https://doi.org/10.1046/j.0022-202x.2001.01577.x,False,"[""https://www.elsevier.com/open-access/userlicense/1.0/"",""https://www.elsevier.com/tdm/userlicense/1.0/""]","[{""URL"":""https://api.elsevier.com/content/article/PII:S0022202X15414836?httpAccept=text/xml"",""content_type"":""text/xml"",""content_version"":""vor"",""intended_application"":""text-mining""},{""URL"":""https://api.elsevier.com/content/article/PII:S0022202X15414836?httpAccept=text/plain"",""content_type"":""text/plain"",""content_version"":""vor"",""intended_application"":""text-mining""}]",True,11886508,,False,False,,True,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,OPENALEX_OA_PDF,http://www.jidonline.org/article/S0022202X15414836/pdf,PDF,NOT_STARTED,NOT_VALIDATED,NOT_STARTED,
2,9,doi:10.1364/oe.425401,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,2021.0,10.1364/oe.425401,"[""TC-NOV-002"",""TC-NOV-003""]",1,200,200,200,analysis/prior_art/acquisition/route_resolution_raw/paper-009/openalex.json,analysis/prior_art/acquisition/route_resolution_raw/paper-009/crossref.json,analysis/prior_art/acquisition/route_resolution_raw/paper-009/europe_pmc.json,True,https://openalex.org/W3179656489,True,gold,https://doi.org/10.1364/oe.425401,https://doi.org/10.1364/oe.425401,,,"[{""is_oa"":""true"",""landing_page_url"":""https://doi.org/10.1364/oe.425401"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""},{""is_oa"":""false"",""landing_page_url"":""https://pubmed.ncbi.nlm.nih.gov/34614820"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""},{""is_oa"":""true"",""landing_page_url"":""https://hdl.handle.net/11250/2826144"",""license"":""other-oa"",""pdf_url"":"""",""version"":""submittedVersion""}]",True,True,https://doi.org/10.1364/oe.425401,True,"[""https://doi.org/10.1364/OA_License_v1#VOR-OA"",""https://opg.optica.org/policies/opg-tdm-policy.json""]","[{""URL"":""https://opg.optica.org/viewmedia.cfm?URI=oe-29-16-24695&seq=0"",""content_type"":""unspecified"",""content_version"":""vor"",""intended_application"":""similarity-checking""}]",True,34614820,,False,False,,True,LANDING_PAGE_ROUTE_ONLY,OPENALEX_OA_LANDING_PAGE,https://doi.org/10.1364/oe.425401,HTML_OR_LANDING_PAGE,NOT_STARTED,NOT_VALIDATED,NOT_STARTED,
3,10,doi:10.1038/s41597-025-04382-5,Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,2025.0,10.1038/s41597-025-04382-5,"[""TC-NOV-004"",""TC-NOV-006""]",1,200,200,200,analysis/prior_art/acquisition/route_resolution_raw/paper-010/openalex.json,analysis/prior_art/acquisition/route_resolution_raw/paper-010/crossref.json,analysis/prior_art/acquisition/route_resolution_raw/paper-010/europe_pmc.json,True,https://openalex.org/W4407063052,True,gold,https://www.nature.com/articles/s41597-025-04382-5.pdf,https://doi.org/10.1038/s41597-025-04382-5,https://www.nature.com/articles/s41597-025-04382-5.pdf,cc-by-nc-nd,"[{""is_oa"":""true"",""landing_page_url"":""https://doi.org/10.1038/s41597-025-04382-5"",""license"":""cc-by-nc-nd"",""pdf_url"":""https://www.nature.com/articles/s41597-025-04382-5.pdf"",""version"":""publishedVersion""},{""is_oa"":""false"",""landing_page_url"":""https://pubmed.ncbi.nlm.nih.gov/39893183"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""},{""is_oa"":""true"",""landing_page_url"":""https://www.ncbi.nlm.nih.gov/pmc/articles/11787307"",""license"":""cc-by-nc-nd"",""pdf_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC11787307/pdf/41597_2025_Article_4382.pdf"",""version"":""submittedVersion""},{""is_oa"":""true"",""landing_page_url"":""https://doaj.org/article/9fcad7aa76cf4ee5be5b308c695e9004"",""license"":""cc-by-sa"",""pdf_url"":"""",""version"":""submittedVersion""}]",True,True,https://doi.org/10.1038/s41597-025-04382-5,False,"[""https://creativecommons.org/licenses/by-nc-nd/4.0""]","[{""URL"":""https://www.nature.com/articles/s41597-025-04382-5.pdf"",""content_type"":""application/pdf"",""content_version"":""vor"",""intended_application"":""text-mining""},{""URL"":""https://www.nature.com/articles/s41597-025-04382-5"",""content_type"":""text/html"",""content_version"":""vor"",""intended_application"":""text-mining""},{""URL"":""https://www.nature.com/articles/s41597-025-04382-5.pdf"",""content_type"":""application/pdf"",""content_version"":""vor"",""intended_application"":""similarity-checking""}]",True,39893183,PMC11787307,True,True,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11787307/fullTextXML,True,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,EUROPE_PMC_FULL_TEXT_XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11787307/fullTextXML,XML,NOT_STARTED,NOT_VALIDATED,NOT_STARTED,
4,1,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023.0,10.1117/1.jbo.28.3.035001,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]",2,200,200,200,analysis/prior_art/acquisition/route_resolution_raw/paper-001/openalex.json,analysis/prior_art/acquisition/route_resolution_raw/paper-001/crossref.json,analysis/prior_art/acquisition/route_resolution_raw/paper-001/europe_pmc.json,True,https://openalex.org/W4360998775,True,gold,https://www.spiedigitallibrary.org/journals/journal-of-biomedical-optics/volume-28/issue-3/035001/Deep-learning-based-optical-approach-for-skin-analysis-of-melanin/10.1117/1.JBO.28.3.035001.pdf,https://doi.org/10.1117/1.jbo.28.3.035001,https://www.spiedigitallibrary.org/journals/journal-of-biomedical-optics/volume-28/issue-3/035001/Deep-learning-based-optical-approach-for-skin-analysis-of-melanin/10.1117/1.JBO.28.3.035001.pdf,cc-by,"[{""is_oa"":""true"",""landing_page_url"":""https://doi.org/10.1117/1.jbo.28.3.035001"",""license"":""cc-by"",""pdf_url"":""https://www.spiedigitallibrary.org/journals/journal-of-biomedical-optics/volume-28/issue-3/035001/Deep-learning-based-optical-approach-for-skin-analysis-of-melanin/10.1117/1.JBO.28.3.035001.pdf"",""version"":""publishedVersion""},{""is_oa"":""false"",""landing_page_url"":""https://pubmed.ncbi.nlm.nih.gov/36992693"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""},{""is_oa"":""true"",""landing_page_url"":""https://www.ncbi.nlm.nih.gov/pmc/articles/10042298"",""license"":""cc-by"",""pdf_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC10042298/pdf/JBO-028-035001.pdf"",""version"":""submittedVersion""}]",True,True,https://doi.org/10.1117/1.jbo.28.3.035001,False,[],"[{""URL"":""https://www.spiedigitallibrary.org/journalArticle/Download?urlId=10.1117%2f1.JBO.28.3.035001"",""content_type"":""unspecified"",""content_version"":""vor"",""intended_application"":""similarity-checking""}]",True,36992693,PMC10042298,True,True,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10042298/fullTextXML,True,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,EUROPE_PMC_FULL_TEXT_XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10042298/fullTextXML,XML,NOT_STARTED,NOT_VALIDATED,NOT_STARTED,
5,11,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",2021.0,10.1111/jdv.17076,"[""TC-NOV-002"",""TC-NOV-005""]",2,200,200,200,analysis/prior_art/acquisition/route_resolution_raw/paper-011/openalex.json,analysis/prior_art/acquisition/route_resolution_raw/paper-011/crossref.json,analysis/prior_art/acquisition/route_resolution_raw/paper-011/europe_pmc.json,True,https://openalex.org/W3113180184,True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/8078188,https://www.ncbi.nlm.nih.gov/pmc/articles/8078188,,,"[{""is_oa"":""false"",""landing_page_url"":""https://doi.org/10.1111/jdv.17076"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""},{""is_oa"":""false"",""landing_page_url"":""https://pubmed.ncbi.nlm.nih.gov/33290609"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""},{""is_oa"":""true"",""landing_page_url"":""https://www.ncbi.nlm.nih.gov/pmc/articles/8078188"",""license"":"""",""pdf_url"":"""",""version"":""submittedVersion""}]",False,True,https://doi.org/10.1111/jdv.17076,False,"[""http://onlinelibrary.wiley.com/termsAndConditions#vor""]","[{""URL"":""https://onlinelibrary.wiley.com/doi/pdf/10.1111/jdv.17076"",""content_type"":""application/pdf"",""content_version"":""vor"",""intended_application"":""text-mining""},{""URL"":""https://onlinelibrary.wiley.com/doi/full-xml/10.1111/jdv.17076"",""content_type"":""application/xml"",""content_version"":""vor"",""intended_application"":""text-mining""},{""URL"":""https://onlinelibrary.wiley.com/doi/pdf/10.1111/jdv.17076"",""content_type"":""unspecified"",""content_version"":""vor"",""intended_application"":""similarity-checking""}]",True,33290609,PMC8078188,True,False,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8078188/fullTextXML,True,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,EUROPE_PMC_FULL_TEXT_XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8078188/fullTextXML,XML,NOT_STARTED,NOT_VALIDATED,NOT_STARTED,
6,12,doi:10.1109/cvprw50498.2020.00239,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,2020.0,10.1109/cvprw50498.2020.00239,"[""TC-NOV-002"",""TC-NOV-003""]",2,200,200,200,analysis/prior_art/acquisition/route_resolution_raw/paper-012/openalex.json,analysis/prior_art/acquisition/route_resolution_raw/paper-012/crossref.json,analysis/prior_art/acquisition/route_resolution_raw/paper-012/europe_pmc.json,True,https://openalex.org/W3035598238,False,closed,,,,,"[{""is_oa"":""false"",""landing_page_url"":""https://doi.org/10.1109/cvprw50498.2020.00239"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""}]",True,True,https://doi.org/10.1109/cvprw50498.2020.00239,False,"[""https://doi.org/10.15223/policy-029"",""https://doi.org/10.15223/policy-037"",""https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html""]","[{""URL"":""http://xplorestaging.ieee.org/ielx7/9142289/9150305/09150664.pdf?arnumber=9150664"",""content_type"":""unspecified"",""content_version"":""vor"",""intended_application"":""similarity-checking""}]",False,,,False,False,,False,LANDING_PAGE_ROUTE_ONLY,CROSSREF_PUBLISHER_LANDING_PAGE,https://doi.org/10.1109/cvprw50498.2020.00239,LANDING_PAGE,NOT_STARTED,NOT_VALIDATED,NOT_STARTED,
7,13,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,2025.0,10.1093/ced/llaf126,"[""TC-NOV-004"",""TC-NOV-006""]",2,200,200,200,analysis/prior_art/acquisition/route_resolution_raw/paper-013/openalex.json,analysis/prior_art/acquisition/route_resolution_raw/paper-013/crossref.json,analysis/prior_art/acquisition/route_resolution_raw/paper-013/europe_pmc.json,True,https://openalex.org/W4408389250,False,closed,,,,,"[{""is_oa"":""false"",""landing_page_url"":""https://doi.org/10.1093/ced/llaf126"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""},{""is_oa"":""false"",""landing_page_url"":""https://pubmed.ncbi.nlm.nih.gov/40080693"",""license"":"""",""pdf_url"":"""",""version"":""publishedVersion""}]",True,True,https://doi.org/10.1093/ced/llaf126,True,"[""https://academic.oup.com/pages/standard-publication-reuse-rights""]","[{""URL"":""https://academic.oup.com/ced/advance-article-pdf/doi/10.1093/ced/llaf126/62402753/llaf126.pdf"",""content_type"":""application/pdf"",""content_version"":""am"",""intended_application"":""syndication""},{""URL"":""https://academic.oup.com/ced/article-pdf/50/8/1620/62402753/llaf126.pdf"",""content_type"":""application/pdf"",""content_version"":""vor"",""intended_application"":""syndication""},{""URL"":""https://academic.oup.com/ced/article-pdf/50/8/1620/62402753/llaf126.pdf"",""content_type"":""unspecified"",""content_version"":""vor"",""intended_application"":""similarity-checking""}]",True,40080693,,False,False,,True,SCIENTIFIC_DOCUMENT_ROUTE_CANDIDATE,CROSSREF_PUBLISHER_PDF_LINK,https://academic.oup.com/ced/advance-article-pdf/doi/10.1093/ced/llaf126/62402753/llaf126.pdf,PDF,NOT_STARTED,NOT_VALIDATED,NOT_STARTED,
