acquisition_order,unique_review_order,acquisition_priority,canonical_key,title,year,doi,doi_url,claim_ids_json,claim_count,minimum_claim_rank,maximum_claim_rank,scientific_content_state,acquisition_status,acquisition_route,access_class,license,resolved_source_url,source_format,local_source_path,source_sha256,source_validation_status,scientific_extraction_status,acquisition_notes
1,2,P1_CLOSEST_PAPERS,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",2001.0,10.1046/j.0022-202x.2001.01577.x,https://doi.org/10.1046/j.0022-202x.2001.01577.x,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,1,1,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-002,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
2,9,P1_CLOSEST_PAPERS,doi:10.1364/oe.425401,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,2021.0,10.1364/oe.425401,https://doi.org/10.1364/oe.425401,"[""TC-NOV-002"",""TC-NOV-003""]",2,1,2,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-009,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
3,10,P1_CLOSEST_PAPERS,doi:10.1038/s41597-025-04382-5,Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,2025.0,10.1038/s41597-025-04382-5,https://doi.org/10.1038/s41597-025-04382-5,"[""TC-NOV-004"",""TC-NOV-006""]",2,1,1,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-010,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
4,1,P1_CLOSEST_PAPERS,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2023.0,10.1117/1.jbo.28.3.035001,https://doi.org/10.1117/1.jbo.28.3.035001,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]",4,2,6,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-001,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
5,11,P1_CLOSEST_PAPERS,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",2021.0,10.1111/jdv.17076,https://doi.org/10.1111/jdv.17076,"[""TC-NOV-002"",""TC-NOV-005""]",2,2,3,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-011,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
6,12,P1_CLOSEST_PAPERS,doi:10.1109/cvprw50498.2020.00239,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,2020.0,10.1109/cvprw50498.2020.00239,https://doi.org/10.1109/cvprw50498.2020.00239,"[""TC-NOV-002"",""TC-NOV-003""]",2,2,4,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-012,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
7,13,P1_CLOSEST_PAPERS,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,2025.0,10.1093/ced/llaf126,https://doi.org/10.1093/ced/llaf126,"[""TC-NOV-004"",""TC-NOV-006""]",2,2,2,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-013,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
8,3,P1_CLOSEST_PAPERS,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,2024.0,10.1002/jbio.202400118,https://doi.org/10.1002/jbio.202400118,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,3,7,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-003,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
9,14,P1_CLOSEST_PAPERS,doi:10.1117/12.3098393,Optimal wavelength selection for laparoscopic multispectral imaging to visualize tissue oxygenation,2025.0,10.1117/12.3098393,https://doi.org/10.1117/12.3098393,"[""TC-NOV-002"",""TC-NOV-003""]",2,3,5,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-014,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
10,15,P1_CLOSEST_PAPERS,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,Effect of Capture Illumination on Preferred White Point for Camera Automatic White Balance,2016.0,10.2352/issn.2470-1173.2016.13.iqsp-219,https://doi.org/10.2352/issn.2470-1173.2016.13.iqsp-219,"[""TC-NOV-003"",""TC-NOV-006""]",2,3,4,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-015,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
11,16,P1_CLOSEST_PAPERS,doi:10.3390/curroncol30030241,Validity of a Self-Assessment Skin Tone Palette Compared to a Colorimeter for Characterizing Skin Color for Skin Cancer Research.,2023.0,10.3390/curroncol30030241,https://doi.org/10.3390/curroncol30030241,"[""TC-NOV-003"",""TC-NOV-005""]",2,3,5,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-016,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
12,17,P1_CLOSEST_PAPERS,doi:10.3390/app15158321,Evaluating Skin Tone Fairness in Convolutional Neural Networks for the Classification of Diabetic Foot Ulcers,2025.0,10.3390/app15158321,https://doi.org/10.3390/app15158321,"[""TC-NOV-004"",""TC-NOV-006""]",2,3,4,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-017,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
13,4,P1_CLOSEST_PAPERS,doi:10.1007/s10043-015-0177-3,Evaluation of light scattering properties and chromophore concentrations in skin tissue based on diffuse reflectance signals at isosbestic wavelengths of hemoglobin,2016.0,10.1007/s10043-015-0177-3,https://doi.org/10.1007/s10043-015-0177-3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,4,8,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-004,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
14,18,P1_CLOSEST_PAPERS,doi:10.2196/31697,Performance of Artificial Intelligence Imaging Models in Detecting Dermatological Manifestations in Higher Fitzpatrick Skin Color Classifications,2021.0,10.2196/31697,https://doi.org/10.2196/31697,"[""TC-NOV-004"",""TC-NOV-006""]",2,4,5,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-018,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
15,5,P1_CLOSEST_PAPERS,doi:10.1007/s10043-010-0040-5,Monte Carlo simulation of spectral reflectance using a multilayered skin tissue model,2010.0,10.1007/s10043-010-0040-5,https://doi.org/10.1007/s10043-010-0040-5,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,5,9,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-005,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
16,19,P1_CLOSEST_PAPERS,doi:10.35772/ghm.2026.01058,Artificial intelligence (AI)-assisted diagnosis of skin diseases: From image classification to dermatology-specific multimodal clinical reasoning.,2026.0,10.35772/ghm.2026.01058,https://doi.org/10.35772/ghm.2026.01058,"[""TC-NOV-004"",""TC-NOV-006""]",2,5,8,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-019,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
17,6,P2_REMAINING_COHORT,doi:10.1117/1.jbo.29.9.093507,"Hyperspectral imaging with deep learning for quantification of tissue hemoglobin, melanin, and scattering",2024.0,10.1117/1.jbo.29.9.093507,https://doi.org/10.1117/1.jbo.29.9.093507,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,6,12,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-006,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
18,20,P2_REMAINING_COHORT,doi:10.3390/jimaging12050203,Characterization of RGB-Polarization Sensor-Based Cameras.,2026.0,10.3390/jimaging12050203,https://doi.org/10.3390/jimaging12050203,"[""TC-NOV-003"",""TC-NOV-006""]",2,6,13,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-020,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
19,21,P2_REMAINING_COHORT,doi:10.1016/j.jaad.2022.06.115,32993 Association of pigment contrast on multispectral dermatoscopic imaging with pigmented lesion histopathologic diagnosis,2022.0,10.1016/j.jaad.2022.06.115,https://doi.org/10.1016/j.jaad.2022.06.115,"[""TC-NOV-004"",""TC-NOV-006""]",2,6,9,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-021,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
20,7,P2_REMAINING_COHORT,doi:10.1117/1.jbo.28.10.107001,"Measuring and imaging of transcutaneous bilirubin, hemoglobin, and melanin based on diffuse reflectance spectroscopy",2023.0,10.1117/1.jbo.28.10.107001,https://doi.org/10.1117/1.jbo.28.10.107001,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",3,7,15,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-007,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
21,22,P2_REMAINING_COHORT,doi:10.1117/1.jbo.27.2.026004,Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination,2022.0,10.1117/1.jbo.27.2.026004,https://doi.org/10.1117/1.jbo.27.2.026004,"[""TC-NOV-002"",""TC-NOV-003""]",2,7,10,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-022,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
22,23,P2_REMAINING_COHORT,doi:10.1093/ced/llaf145,Comment on ‘Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study’,2025.0,10.1093/ced/llaf145,https://doi.org/10.1093/ced/llaf145,"[""TC-NOV-004"",""TC-NOV-006""]",2,7,10,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-023,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
23,34,P2_REMAINING_COHORT,doi:10.1109/iccvw60793.2023.00122,Deterministic Neural Illumination Mapping for Efficient Auto-White Balance Correction,2023.0,10.1109/iccvw60793.2023.00122,https://doi.org/10.1109/iccvw60793.2023.00122,"[""TC-NOV-006""]",1,7,7,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-034,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
24,24,P2_REMAINING_COHORT,doi:10.3390/s22134923,Auxiliary Reference Samples for Extrapolating Spectral Reflectance from Camera RGB Signals,2022.0,10.3390/s22134923,https://doi.org/10.3390/s22134923,"[""TC-NOV-002"",""TC-NOV-003""]",2,8,11,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-024,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
25,25,P2_REMAINING_COHORT,doi:10.1038/s41591-023-02540-z,External validation of AI models in health should be replaced with recurring local validation,2023.0,10.1038/s41591-023-02540-z,https://doi.org/10.1038/s41591-023-02540-z,"[""TC-NOV-004"",""TC-NOV-006""]",2,8,12,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-025,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
26,35,P2_REMAINING_COHORT,doi:10.1016/s0924-2031(01)00144-8,Melanin as a confounding factor in near infrared spectroscopy of skin,2002.0,10.1016/s0924-2031(01)00144-8,https://doi.org/10.1016/s0924-2031(01)00144-8,"[""TC-NOV-001""]",1,8,8,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-035,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
27,26,P2_REMAINING_COHORT,doi:10.1364/boe.507361,Dynamic model for the strain-modulated spectral reflectance of the human skin in vivo,2024.0,10.1364/boe.507361,https://doi.org/10.1364/boe.507361,"[""TC-NOV-002"",""TC-NOV-005""]",2,9,13,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-026,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
28,27,P2_REMAINING_COHORT,doi:10.3390/s23083888,Multispectral Imaging for Skin Diseases Assessment-State of the Art and Perspectives.,2023.0,10.3390/s23083888,https://doi.org/10.3390/s23083888,"[""TC-NOV-002"",""TC-NOV-003""]",2,9,14,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-027,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
29,28,P2_REMAINING_COHORT,doi:10.1111/ics.12147,Determination of melanin types and relative concentrations: an observational study using a non‐invasive inverse skin reflectance analysis,2014.0,10.1111/ics.12147,https://doi.org/10.1111/ics.12147,"[""TC-NOV-001"",""TC-NOV-005""]",2,9,12,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-028,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
30,29,P2_REMAINING_COHORT,doi:10.7759/cureus.94909,Exploring the Diagnostic Capability of Artificial Intelligence in Dermatology for Darker Skin Tones: A Narrative Review.,2025.0,10.7759/cureus.94909,https://doi.org/10.7759/cureus.94909,"[""TC-NOV-004"",""TC-NOV-006""]",2,9,13,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-029,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
31,8,P2_REMAINING_COHORT,doi:10.1016/j.visres.2022.108048,Effect of skin colors due to hemoglobin or melanin modulation on facial expression recognition,2022.0,10.1016/j.visres.2022.108048,https://doi.org/10.1016/j.visres.2022.108048,"[""TC-NOV-001"",""TC-NOV-003"",""TC-NOV-005""]",3,10,13,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-008,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
32,30,P2_REMAINING_COHORT,doi:10.1111/srt.13207,Validity of self‐reported skin color by using skin color evaluation scale,2022.0,10.1111/srt.13207,https://doi.org/10.1111/srt.13207,"[""TC-NOV-003"",""TC-NOV-005""]",2,10,10,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-030,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
33,31,P2_REMAINING_COHORT,doi:10.5753/sibgrapi.est.2024.31648,Enhancing Fairness in Machine Learning: Skin Tone Classification Using the Monk Skin Tone Scale,2024.0,10.5753/sibgrapi.est.2024.31648,https://doi.org/10.5753/sibgrapi.est.2024.31648,"[""TC-NOV-004"",""TC-NOV-006""]",2,10,14,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-031,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
34,32,P2_REMAINING_COHORT,doi:10.3390/s130607902,Estimation of Melanin and Hemoglobin Using Spectral Reflectance Images Reconstructed from a Digital RGB  Image by the Wiener Estimation Method,2013.0,10.3390/s130607902,https://doi.org/10.3390/s130607902,"[""TC-NOV-001"",""TC-NOV-005""]",2,11,14,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-032,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
35,36,P2_REMAINING_COHORT,doi:10.1109/tip.2017.2764264,A Data Set for Camera-Independent Color Constancy,2018.0,10.1109/tip.2017.2764264,https://doi.org/10.1109/tip.2017.2764264,"[""TC-NOV-006""]",1,11,11,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-036,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
36,37,P2_REMAINING_COHORT,doi:10.1111/ijd.70452,Diagnostic Accuracy of Three Large Language Models on Clinical Images Varies by Skin Tone: Findings From the Stanford Diverse Dermatology Images Dataset,2026.0,10.1111/ijd.70452,https://doi.org/10.1111/ijd.70452,"[""TC-NOV-004""]",1,11,11,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-037,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
37,33,P2_REMAINING_COHORT,doi:10.1111/srt.12421,Analysis of the influence of collagen fibres in the dermis on skin optical reflectance by Monte Carlo simulation in a nine‐layered skin model,2018.0,10.1111/srt.12421,https://doi.org/10.1111/srt.12421,"[""TC-NOV-001"",""TC-NOV-005""]",2,12,15,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-033,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
38,38,P2_REMAINING_COHORT,doi:10.1364/josaa.23.001814,Metamer-set-based approach to estimating surface reflectance from camera RGB,2006.0,10.1364/josaa.23.001814,https://doi.org/10.1364/josaa.23.001814,"[""TC-NOV-003""]",1,12,12,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-038,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
39,39,P2_REMAINING_COHORT,doi:10.1371/journal.pone.0280670,New AI-algorithms on smartphones to detect skin cancer in a clinical setting-A validation study.,2023.0,10.1371/journal.pone.0280670,https://doi.org/10.1371/journal.pone.0280670,"[""TC-NOV-004""]",1,12,12,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-039,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
40,40,P2_REMAINING_COHORT,doi:10.1117/12.3098404,Monte Carlo simulation of spectral reflectance images of human skin with embedded lesions,2025.0,10.1117/12.3098404,https://doi.org/10.1117/12.3098404,"[""TC-NOV-001""]",1,13,13,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-040,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
41,41,P2_REMAINING_COHORT,doi:10.1109/wacvw60836.2024.00067,Does the Fairness of Your Pre-Training Hold Up? Examining the Influence of Pre-Training Techniques on Skin Tone Bias in Skin Lesion Classification,2024.0,10.1109/wacvw60836.2024.00067,https://doi.org/10.1109/wacvw60836.2024.00067,"[""TC-NOV-004""]",1,13,13,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-041,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
42,42,P2_REMAINING_COHORT,doi:10.19184/cerimre.v5i2.31668,Optical Ray Tracing Simulation by Using Monte Carlo Method for Reflectance-based Photoplethysmography Sensor in Human Skin and Fingertip Model,2022.0,10.19184/cerimre.v5i2.31668,https://doi.org/10.19184/cerimre.v5i2.31668,"[""TC-NOV-001""]",1,14,14,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-042,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
43,43,P2_REMAINING_COHORT,doi:10.3390/jimaging9020047,Spectral Reflectance Estimation from Camera Responses Using Local Optimal Dataset,2023.0,10.3390/jimaging9020047,https://doi.org/10.3390/jimaging9020047,"[""TC-NOV-003""]",1,14,14,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-043,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
44,44,P2_REMAINING_COHORT,doi:10.1364/boe.570414,Dynamic contrast in dual-beam optical coherence tomography imaging of human skin.,2025.0,10.1364/boe.570414,https://doi.org/10.1364/boe.570414,"[""TC-NOV-004""]",1,14,14,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-044,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
45,45,P2_REMAINING_COHORT,doi:10.1111/srt.12396,"SpectraCam<sup>®</sup>: A new polarized hyperspectral imaging system for repeatable and reproducible in vivo skin quantification of melanin, total hemoglobin, and oxygen saturation",2018.0,10.1111/srt.12396,https://doi.org/10.1111/srt.12396,"[""TC-NOV-001""]",1,15,15,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-045,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
46,46,P2_REMAINING_COHORT,doi:10.1111/j.1600-0846.1997.tb00191.x,A comparison between a tristimulus colorimeter (Minolta ChromaMeter CR‐200) and two spectrophotometers (Minolta Spectrophotometer CM‐508i and CM‐2002). Quantification of UV‐B induced erythema in a hairless guinea pig model,1997.0,10.1111/j.1600-0846.1997.tb00191.x,https://doi.org/10.1111/j.1600-0846.1997.tb00191.x,"[""TC-NOV-003""]",1,15,15,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-046,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
47,47,P2_REMAINING_COHORT,doi:10.1109/iccphot.2016.7492879,White balance under mixed illumination using flash photography,2016.0,10.1109/iccphot.2016.7492879,https://doi.org/10.1109/iccphot.2016.7492879,"[""TC-NOV-006""]",1,15,15,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-047,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
48,48,P2_REMAINING_COHORT,doi:10.1093/bjd/ljag151.052,P11 Objective measurement of skin tone using artificial intelligence,2026.0,10.1093/bjd/ljag151.052,https://doi.org/10.1093/bjd/ljag151.052,"[""TC-NOV-004""]",1,15,15,NO_EXISTING_SOURCE_MATCH,NOT_STARTED,,NOT_DETERMINED,,,,analysis/prior_art/ingestion/scientific_sources/paper-048,,NOT_STARTED,BLOCKED_SOURCE_NOT_ACQUIRED,
