acquisition_order,unique_review_order,canonical_key,title,minimum_claim_rank,claim_ids_json,scientific_content_state,terminal_source_state,extraction_scope,review_eligibility,source_exists,text_exists,source_hash_valid,evidence_record_path,record_state,primary_review_completed,second_review_required,second_review_completed,second_review_selection_rule
1,2,doi:10.1046/j.0022-202x.2001.01577.x,"Skin Melanin, Hemoglobin, and Light Scattering Properties can be Quantitatively Assessed In Vivo Using Diffuse Reflectance Spectroscopy",1,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",ABSTRACT_OR_PREVIEW_ONLY,ABSTRACT_ONLY,ABSTRACT_OR_PREVIEW_CONSTRAINED,IDENTITY_AND_ABSTRACT_ONLY,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-01-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,True,False,TOP_FIVE_BY_MINIMUM_CLAIM_RANK_THEN_ACQUISITION_ORDER
2,9,doi:10.1364/oe.425401,Optimized light source spectral power distribution for RGB camera based spectral reflectance recovery,1,"[""TC-NOV-002"",""TC-NOV-003""]",UNRESOLVED_NO_VALIDATED_SOURCE,PAYWALLED_OR_INACCESSIBLE,SOURCE_UNAVAILABLE_RECORD,UNAVAILABLE,False,False,False,analysis/prior_art/scientific_extraction/p1/paper-02-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,True,False,TOP_FIVE_BY_MINIMUM_CLAIM_RANK_THEN_ACQUISITION_ORDER
3,10,doi:10.1038/s41597-025-04382-5,Investigating the Quality of DermaMNIST and Fitzpatrick17k Dermatological Image Datasets.,1,"[""TC-NOV-004"",""TC-NOV-006""]",FULL_SCIENTIFIC_TEXT,,COMPLETE_SCIENTIFIC_EXTRACTION,COMPLETE,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-03-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,True,False,TOP_FIVE_BY_MINIMUM_CLAIM_RANK_THEN_ACQUISITION_ORDER
4,1,doi:10.1117/1.jbo.28.3.035001,Deep learning-based optical approach for skin analysis of melanin and hemoglobin distribution.,2,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-003"",""TC-NOV-005""]",FULL_SCIENTIFIC_TEXT,,COMPLETE_SCIENTIFIC_EXTRACTION,COMPLETE,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-04-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,True,False,TOP_FIVE_BY_MINIMUM_CLAIM_RANK_THEN_ACQUISITION_ORDER
5,11,doi:10.1111/jdv.17076,"Hyperspectral measurement of skin reflectance detects differences in the visible and near‐infrared regions according to race, gender and body site",2,"[""TC-NOV-002"",""TC-NOV-005""]",SUBSTANTIVE_PARTIAL_TEXT,SUBSTANTIVE_PARTIAL_ONLY,BOUNDED_PARTIAL_TEXT_EXTRACTION,BOUNDED,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-05-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,True,False,TOP_FIVE_BY_MINIMUM_CLAIM_RANK_THEN_ACQUISITION_ORDER
6,12,doi:10.1109/cvprw50498.2020.00239,Adaptive Weighted Attention Network with Camera Spectral Sensitivity Prior for Spectral Reconstruction from RGB Images,2,"[""TC-NOV-002"",""TC-NOV-003""]",FULL_SCIENTIFIC_TEXT,,COMPLETE_SCIENTIFIC_EXTRACTION,COMPLETE,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-06-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
7,13,doi:10.1093/ced/llaf126,Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study,2,"[""TC-NOV-004"",""TC-NOV-006""]",ABSTRACT_OR_PREVIEW_ONLY,ABSTRACT_ONLY,ABSTRACT_OR_PREVIEW_CONSTRAINED,IDENTITY_AND_ABSTRACT_ONLY,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-07-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
8,3,doi:10.1002/jbio.202400118,Noninvasive Detection of the Skin Structure and Inversed Retrieval of Chromophore Information Based on Diffuse Reflectance Spectroscopy,3,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",ABSTRACT_OR_PREVIEW_ONLY,ABSTRACT_ONLY,ABSTRACT_OR_PREVIEW_CONSTRAINED,IDENTITY_AND_ABSTRACT_ONLY,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-08-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
9,14,doi:10.1117/12.3098393,Optimal wavelength selection for laparoscopic multispectral imaging to visualize tissue oxygenation,3,"[""TC-NOV-002"",""TC-NOV-003""]",UNRESOLVED_NO_VALIDATED_SOURCE,SOURCE_NOT_FOUND,SOURCE_UNAVAILABLE_RECORD,UNAVAILABLE,False,False,False,analysis/prior_art/scientific_extraction/p1/paper-09-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
10,15,doi:10.2352/issn.2470-1173.2016.13.iqsp-219,Effect of Capture Illumination on Preferred White Point for Camera Automatic White Balance,3,"[""TC-NOV-003"",""TC-NOV-006""]",ABSTRACT_OR_PREVIEW_ONLY,ABSTRACT_ONLY,ABSTRACT_OR_PREVIEW_CONSTRAINED,IDENTITY_AND_ABSTRACT_ONLY,False,False,False,analysis/prior_art/scientific_extraction/p1/paper-10-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
11,16,doi:10.3390/curroncol30030241,Validity of a Self-Assessment Skin Tone Palette Compared to a Colorimeter for Characterizing Skin Color for Skin Cancer Research.,3,"[""TC-NOV-003"",""TC-NOV-005""]",FULL_SCIENTIFIC_TEXT,,COMPLETE_SCIENTIFIC_EXTRACTION,COMPLETE,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-11-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
12,17,doi:10.3390/app15158321,Evaluating Skin Tone Fairness in Convolutional Neural Networks for the Classification of Diabetic Foot Ulcers,3,"[""TC-NOV-004"",""TC-NOV-006""]",UNRESOLVED_NO_VALIDATED_SOURCE,PAYWALLED_OR_INACCESSIBLE,SOURCE_UNAVAILABLE_RECORD,UNAVAILABLE,False,False,False,analysis/prior_art/scientific_extraction/p1/paper-12-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
13,4,doi:10.1007/s10043-015-0177-3,Evaluation of light scattering properties and chromophore concentrations in skin tissue based on diffuse reflectance signals at isosbestic wavelengths of hemoglobin,4,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",ABSTRACT_OR_PREVIEW_ONLY,ABSTRACT_ONLY,ABSTRACT_OR_PREVIEW_CONSTRAINED,IDENTITY_AND_ABSTRACT_ONLY,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-13-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
14,18,doi:10.2196/31697,Performance of Artificial Intelligence Imaging Models in Detecting Dermatological Manifestations in Higher Fitzpatrick Skin Color Classifications,4,"[""TC-NOV-004"",""TC-NOV-006""]",FULL_SCIENTIFIC_TEXT,FULL_TEXT_ACQUIRED,COMPLETE_SCIENTIFIC_EXTRACTION,COMPLETE,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-14-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
15,5,doi:10.1007/s10043-010-0040-5,Monte Carlo simulation of spectral reflectance using a multilayered skin tissue model,5,"[""TC-NOV-001"",""TC-NOV-002"",""TC-NOV-005""]",ABSTRACT_OR_PREVIEW_ONLY,ABSTRACT_ONLY,ABSTRACT_OR_PREVIEW_CONSTRAINED,IDENTITY_AND_ABSTRACT_ONLY,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-15-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
16,19,doi:10.35772/ghm.2026.01058,Artificial intelligence (AI)-assisted diagnosis of skin diseases: From image classification to dermatology-specific multimodal clinical reasoning.,5,"[""TC-NOV-004"",""TC-NOV-006""]",FULL_SCIENTIFIC_TEXT,,COMPLETE_SCIENTIFIC_EXTRACTION,COMPLETE,True,True,True,analysis/prior_art/scientific_extraction/p1/paper-16-scientific-evidence.json,INITIALIZED_NOT_REVIEWED,False,False,False,
