review_order,task_id,canonical_identity,title,doi,pmid,pdf_state,pdf_path,pdf_filename,pdf_sha256,pdf_size_bytes,match_basis
1,DISPOSITION-TASK-c84160c4be5aec03,doi:10.1016/j.jaad.2022.06.115,32993 Association of pigment contrast on multispectral dermatoscopic imaging with pigmented lesion histopathologic diagnosis,10.1016/j.jaad.2022.06.115,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/01_color_clinical_decoupling_2025.pdf,01_color_clinical_decoupling_2025.pdf,22a2865354ce7555d301c242af15dd5d591132a17e4dc9af62b7cd1116c988f8,1872500,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
2,DISPOSITION-TASK-0fdb2019d281b81c,doi:10.1016/j.visres.2022.108048,Effect of skin colors due to hemoglobin or melanin modulation on facial expression recognition,10.1016/j.visres.2022.108048,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/02_limitations_data_driven_spectral_reconstruction_2024.pdf,02_limitations_data_driven_spectral_reconstruction_2024.pdf,3b548e943f0fc1d63d3899f4ca3a26e139f97025c8f824c44359a3d13fd77a3a,21396748,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
3,DISPOSITION-TASK-c6ae9161a87747ca,doi:10.1016/s0924-2031(01)00144-8,Melanin as a confounding factor in near infrared spectroscopy of skin,10.1016/s0924-2031(01)00144-8,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/03_hyper_skin_2023.pdf,03_hyper_skin_2023.pdf,1e1eb86e85d48213ede04324576a8599a6d0fc3991d1a7149406428fb9e159c2,1279782,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
4,DISPOSITION-TASK-eec76c4dd7b0817f,doi:10.1038/s41591-023-02540-z,External validation of AI models in health should be replaced with recurring local validation,10.1038/s41591-023-02540-z,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/04_cleanpatrick_2025.pdf,04_cleanpatrick_2025.pdf,a7664599d76f227dc397e18aa031ff25ba577ae2163914d818b96aebb8f23169,5819962,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
5,DISPOSITION-TASK-bc75393e9f09c939,doi:10.1093/bjd/ljag151.052,P11 Objective measurement of skin tone using artificial intelligence,10.1093/bjd/ljag151.052,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/05_ddi_2021.pdf,05_ddi_2021.pdf,a080914346bc6e38a0f07af3cfc1ef8a65ab1bcbaf6ec299a025d58b6965c939,4188409,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
6,DISPOSITION-TASK-b865cc8780095eb9,doi:10.1093/ced/llaf145,Comment on ‘Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study’,10.1093/ced/llaf145,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/06_fitzpatrick17k_2021.pdf,06_fitzpatrick17k_2021.pdf,827fd6540d0246a38114d08cd9c3d2e749caa58f51beb2d4ec2525c24295291d,1132095,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
7,DISPOSITION-TASK-9800795f20165472,doi:10.1109/iccphot.2016.7492879,White balance under mixed illumination using flash photography,10.1109/iccphot.2016.7492879,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/07_mste_2023.pdf,07_mste_2023.pdf,779b2390bfb237ec4dfb29643263295997646081a28a1103a384ca0e55f47ada,8662552,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
8,DISPOSITION-TASK-b6ab3fc03178082f,doi:10.1109/iccvw60793.2023.00122,Deterministic Neural Illumination Mapping for Efficient Auto-White Balance Correction,10.1109/iccvw60793.2023.00122,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/08_smartphone_tristimulus_colorimetry_2024.pdf,08_smartphone_tristimulus_colorimetry_2024.pdf,96797443e7e23a60daba8633911aa96fd8371a2b524f5c609ae5aea9bdf26263,7487527,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
9,DISPOSITION-TASK-e6236613e4733a0d,doi:10.1109/tip.2017.2764264,A Data Set for Camera-Independent Color Constancy,10.1109/tip.2017.2764264,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/09_standardized_camera_calibration_2019.pdf,09_standardized_camera_calibration_2019.pdf,9c47dad4cb21dd1af93091e0728ddad14144205f7087db4675ff8450be67eb29,1218443,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
10,DISPOSITION-TASK-3043caf9e757ba1d,doi:10.1109/wacvw60836.2024.00067,Does the Fairness of Your Pre-Training Hold Up? Examining the Influence of Pre-Training Techniques on Skin Tone Bias in Skin Lesion Classification,10.1109/wacvw60836.2024.00067,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/10_spectral_sensitivity_without_camera_2023.pdf,10_spectral_sensitivity_without_camera_2023.pdf,db18e92a45f46b7dae7fd635f868d6e423970e5b6de67514fa7d864356634f28,11946241,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
11,DISPOSITION-TASK-a9aa478e6b533356,doi:10.1111/ics.12147,Determination of melanin types and relative concentrations: an observational study using a non‐invasive inverse skin reflectance analysis,10.1111/ics.12147,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/11_polarisation_optics_biomedical_review_2021.pdf,11_polarisation_optics_biomedical_review_2021.pdf,1c21dc75e255be61bd0ed0a01784037c9cae6af1fe38aa00f456f548e8f15207,17377052,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
12,DISPOSITION-TASK-65e3bb54b0d7adc4,doi:10.1111/ijd.70452,Diagnostic Accuracy of Three Large Language Models on Clinical Images Varies by Skin Tone: Findings From the Stanford Diverse Dermatology Images Dataset,10.1111/ijd.70452,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/12_skin_biophysical_model_2022.pdf,12_skin_biophysical_model_2022.pdf,f35f4f74163219b27f4daf177d2857ac6ea08f27c3e318344b9733a1b9187e64,37662312,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
13,DISPOSITION-TASK-e7f3fc0263e72f79,doi:10.1111/j.1600-0846.1997.tb00191.x,A comparison between a tristimulus colorimeter (Minolta ChromaMeter CR‐200) and two spectrophotometers (Minolta Spectrophotometer CM‐508i and CM‐2002). Quantification of UV‐B induced erythema in a hairless guinea pig model,10.1111/j.1600-0846.1997.tb00191.x,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/13_computational_spectral_reconstruction_survey_2021.pdf,13_computational_spectral_reconstruction_survey_2021.pdf,ce43da28be65de5ca50c6d4cc8c240431d0313e786012cf6f4e43181c53c46fb,2021243,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
14,DISPOSITION-TASK-5916f5967be4db17,doi:10.1111/srt.12396,"SpectraCam<sup>®</sup>: A new polarized hyperspectral imaging system for repeatable and reproducible in vivo skin quantification of melanin, total hemoglobin, and oxygen saturation",10.1111/srt.12396,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/14_nist_human_skin_reflectance_2017.pdf,14_nist_human_skin_reflectance_2017.pdf,2e91ad83098bea20b454faac1607b8e581a4a1a936f4d5b331dcd9bae3eed5e5,339138,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
15,DISPOSITION-TASK-45015e13a1263d20,doi:10.1111/srt.12421,Analysis of the influence of collagen fibres in the dermis on skin optical reflectance by Monte Carlo simulation in a nine‐layered skin model,10.1111/srt.12421,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/15_hyperspectral_imaging_database_human_facial_skin_2025.pdf,15_hyperspectral_imaging_database_human_facial_skin_2025.pdf,b598e69d89248e4dd6821186269a1d5491eb3d40597244fe03fcad8ed207c13a,19510058,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
16,DISPOSITION-TASK-0c20a1f05d8be4be,doi:10.1111/srt.13207,Validity of self‐reported skin color by using skin color evaluation scale,10.1111/srt.13207,36210488.0,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/16_estimating_skin_tone_dermatology_2019.pdf,16_estimating_skin_tone_dermatology_2019.pdf,a9087a43f914b7d82a05c94f75f52d0b22b0e8957cc6cbe736b6e72e4d1da5ae,2546247,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
17,DISPOSITION-TASK-13fcfe1ce95a00f0,doi:10.1117/1.jbo.27.2.026004,Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination,10.1117/1.jbo.27.2.026004,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/17_eigenspectra_optoacoustic_2015.pdf,17_eigenspectra_optoacoustic_2015.pdf,f2291b20d3cc4cf49ac27cbda0d2cb5f864bc50e9996a9f3f1d2f1eade20695f,2580318,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
18,DISPOSITION-TASK-4b1e6a689b9d4328,doi:10.1117/1.jbo.28.10.107001,"Measuring and imaging of transcutaneous bilirubin, hemoglobin, and melanin based on diffuse reflectance spectroscopy",10.1117/1.jbo.28.10.107001,37915398.0,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/18_physical_plausible_spectral_reconstruction_2020.pdf,18_physical_plausible_spectral_reconstruction_2020.pdf,7559d8e739fb48a367beb2084f3e412cfc747bd83e231744372021082c07d25a,5533324,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
19,DISPOSITION-TASK-ead1102aae0c938a,doi:10.1117/1.jbo.29.9.093507,"Hyperspectral imaging with deep learning for quantification of tissue hemoglobin, melanin, and scattering",10.1117/1.jbo.29.9.093507,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/19_Arad_NTIRE_2022_Spectral_Recovery_Challenge_and_Data_Set_CVPRW_2022_paper.pdf,19_Arad_NTIRE_2022_Spectral_Recovery_Challenge_and_Data_Set_CVPRW_2022_paper.pdf,7b55f81d8d4b4111288157b8850fe177412c614fa03cafff70827d847c7f07a4,2959406,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
20,DISPOSITION-TASK-1f4f0478ed0babcf,doi:10.1117/12.3098404,Monte Carlo simulation of spectral reflectance images of human skin with embedded lesions,10.1117/12.3098404,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/20_CHROMA-FIT_Dataset_Characterizing_Human_Ranges_of_Melanin_for_Increased_WACVW_2024_paper.pdf,20_CHROMA-FIT_Dataset_Characterizing_Human_Ranges_of_Melanin_for_Increased_WACVW_2024_paper.pdf,b491a81a436373f8f8de62f44d06c69d0720eaeec383abaee6116a777ea436c3,7709621,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
21,DISPOSITION-TASK-eb4b597fdf8a1bc0,doi:10.1364/boe.507361,Dynamic model for the strain-modulated spectral reflectance of the human skin in vivo,10.1364/boe.507361,,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/21_evaluating_skintone_s41746-025-02245-2.pdf,21_evaluating_skintone_s41746-025-02245-2.pdf,78068ca871bf08f54c56f3a79a8ae58626b70309971152456daaeb68efb7d7a1,1539429,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
22,DISPOSITION-TASK-37d387d2ae7cd099,doi:10.1364/boe.570414,Dynamic contrast in dual-beam optical coherence tomography imaging of human skin.,10.1364/boe.570414,41394505.0,PDF_PRESENT_FILENAME_ORDER_MATCH,preprocessed_intake/corpus_prior_art_paper-pdf/22_skin_tone_wild.pdf,22_skin_tone_wild.pdf,1f911f4a200666efd31cd3d3065bc833f94810462110e43f54fa3161203f4e16,7071234,EXACT_NUMERIC_PREFIX_TO_REVIEW_ORDER
