review_order,task_id,task_sha256,canonical_identity,corpus_member_id,title,doi,pmid,year,allowed_terminal_roles,source_metadata_json,existing_observations_json
1,DISPOSITION-TASK-c84160c4be5aec03,2947566a963b7b8795c3ce0a35c7266de3ec70c077b0e41a130a16ec5f0dfccb,doi:10.1016/j.jaad.2022.06.115,CORPUS-c84160c4be5aec03,32993 Association of pigment contrast on multispectral dermatoscopic imaging with pigmented lesion histopathologic diagnosis,10.1016/j.jaad.2022.06.115,,2022.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":3,""canonical_key"":""doi:10.1016/j.jaad.2022.06.115"",""claim_count"":2,""claim_id"":""TC-NOV-004"",""claim_rank"":6,""claims_json"":""[\""TC-NOV-004\"",\""TC-NOV-006\""]"",""doi"":""10.1016/j.jaad.2022.06.115"",""domain_count"":1,""domains_json"":""[\""physics_informed_clinical_image_analysis\""]"",""maximum_domain_score"":9.0,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":72.33333333333334,""screen_decision"":""UNADJUDICATED"",""title"":""32993 Association of pigment contrast on multispectral dermatoscopic imaging with pigmented lesion histopathologic diagnosis"",""unique_review_order"":21,""url"":""https://doi.org/10.1016/j.jaad.2022.06.115"",""year"":""2022.0""}",[]
2,DISPOSITION-TASK-0fdb2019d281b81c,b0bd4f5416bdcda6dc8f9d284f34c11f1983198d1d902c2ca62fb5242e9c254f,doi:10.1016/j.visres.2022.108048,CORPUS-0fdb2019d281b81c,Effect of skin colors due to hemoglobin or melanin modulation on facial expression recognition,10.1016/j.visres.2022.108048,,2022.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":7,""canonical_key"":""doi:10.1016/j.visres.2022.108048"",""claim_count"":3,""claim_id"":""TC-NOV-001"",""claim_rank"":10,""claims_json"":""[\""TC-NOV-001\"",\""TC-NOV-003\"",\""TC-NOV-005\""]"",""doi"":""10.1016/j.visres.2022.108048"",""domain_count"":3,""domains_json"":""[\""fisher_information_and_cramer_rao_skin_imaging\"",\""melanin_hemoglobin_and_scattering_identifiability\"",\""multispectral_band_selection_and_measurement_design\""]"",""maximum_domain_score"":11.255273,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":89.79626028571428,""screen_decision"":""UNADJUDICATED"",""title"":""Effect of skin colors due to hemoglobin or melanin modulation on facial expression recognition"",""unique_review_order"":8,""url"":""https://doi.org/10.1016/j.visres.2022.108048"",""year"":""2022.0""}",[]
3,DISPOSITION-TASK-c6ae9161a87747ca,2982606895c91fbacbf12917700c4d4e28ce06405af8eab3c6fa8aee4db153a8,doi:10.1016/s0924-2031(01)00144-8,CORPUS-c6ae9161a87747ca,Melanin as a confounding factor in near infrared spectroscopy of skin,10.1016/s0924-2031(01)00144-8,,2002.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":2,""canonical_key"":""doi:10.1016/s0924-2031(01)00144-8"",""claim_count"":1,""claim_id"":""TC-NOV-001"",""claim_rank"":8,""claims_json"":""[\""TC-NOV-001\""]"",""doi"":""10.1016/s0924-2031(01)00144-8"",""domain_count"":1,""domains_json"":""[\""fisher_information_and_cramer_rao_skin_imaging\""]"",""maximum_domain_score"":10.653213,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":92.306426,""screen_decision"":""UNADJUDICATED"",""title"":""Melanin as a confounding factor in near infrared spectroscopy of skin"",""unique_review_order"":35,""url"":""https://doi.org/10.1016/s0924-2031(01)00144-8"",""year"":""2002.0""}",[]
4,DISPOSITION-TASK-eec76c4dd7b0817f,700d320b42b44744d60fbbd4a01c0e2c2e3018f9783cbef50dd449afb0ba0f62,doi:10.1038/s41591-023-02540-z,CORPUS-eec76c4dd7b0817f,External validation of AI models in health should be replaced with recurring local validation,10.1038/s41591-023-02540-z,,2023.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":4,""canonical_key"":""doi:10.1038/s41591-023-02540-z"",""claim_count"":2,""claim_id"":""TC-NOV-004"",""claim_rank"":8,""claims_json"":""[\""TC-NOV-004\"",\""TC-NOV-006\""]"",""doi"":""10.1038/s41591-023-02540-z"",""domain_count"":1,""domains_json"":""[\""clinical_external_validation_and_domain_shift\""]"",""maximum_domain_score"":9.664353,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":65.328706,""screen_decision"":""UNADJUDICATED"",""title"":""External validation of AI models in health should be replaced with recurring local validation"",""unique_review_order"":25,""url"":""https://doi.org/10.1038/s41591-023-02540-z"",""year"":""2023.0""}",[]
5,DISPOSITION-TASK-bc75393e9f09c939,846a7bba569f4e9a045f6640ddf1441a66ed4c20e26dcf5b8b6933810e39c7e4,doi:10.1093/bjd/ljag151.052,CORPUS-bc75393e9f09c939,P11 Objective measurement of skin tone using artificial intelligence,10.1093/bjd/ljag151.052,,2026.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":9,""canonical_key"":""doi:10.1093/bjd/ljag151.052"",""claim_count"":1,""claim_id"":""TC-NOV-004"",""claim_rank"":15,""claims_json"":""[\""TC-NOV-004\""]"",""doi"":""10.1093/bjd/ljag151.052"",""domain_count"":1,""domains_json"":""[\""dermatology_ai_fairness_and_skin_tone\""]"",""maximum_domain_score"":12.5,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":57.11111111111112,""screen_decision"":""UNADJUDICATED"",""title"":""P11 Objective measurement of skin tone using artificial intelligence"",""unique_review_order"":48,""url"":""https://doi.org/10.1093/bjd/ljag151.052"",""year"":""2026.0""}",[]
6,DISPOSITION-TASK-b865cc8780095eb9,66d29703924cfc09fbb5f401f5a1dc7cd66ae6756b16f927bb36fae768911d48,doi:10.1093/ced/llaf145,CORPUS-b865cc8780095eb9,Comment on ‘Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study’,10.1093/ced/llaf145,,2025.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":5,""canonical_key"":""doi:10.1093/ced/llaf145"",""claim_count"":2,""claim_id"":""TC-NOV-004"",""claim_rank"":7,""claims_json"":""[\""TC-NOV-004\"",\""TC-NOV-006\""]"",""doi"":""10.1093/ced/llaf145"",""domain_count"":1,""domains_json"":""[\""dermatology_ai_fairness_and_skin_tone\""]"",""maximum_domain_score"":13.5,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":68.0,""screen_decision"":""UNADJUDICATED"",""title"":""Comment on \u2018Representations of skin tone and sex in dermatology by generative artificial intelligence: a comparative study\u2019"",""unique_review_order"":23,""url"":""https://doi.org/10.1093/ced/llaf145"",""year"":""2025.0""}",[]
7,DISPOSITION-TASK-9800795f20165472,3b1531ae9bef9d62a5e5622bfdf18f38be87206e55e04710a0baf140bd667c54,doi:10.1109/iccphot.2016.7492879,CORPUS-9800795f20165472,White balance under mixed illumination using flash photography,10.1109/iccphot.2016.7492879,,2016.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":5,""canonical_key"":""doi:10.1109/iccphot.2016.7492879"",""claim_count"":1,""claim_id"":""TC-NOV-006"",""claim_rank"":15,""claims_json"":""[\""TC-NOV-006\""]"",""doi"":""10.1109/iccphot.2016.7492879"",""domain_count"":1,""domains_json"":""[\""capture_variability_white_balance_and_illumination\""]"",""maximum_domain_score"":10.255273,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":61.510546000000005,""screen_decision"":""UNADJUDICATED"",""title"":""White balance under mixed illumination using flash photography"",""unique_review_order"":47,""url"":""https://doi.org/10.1109/iccphot.2016.7492879"",""year"":""2016.0""}",[]
8,DISPOSITION-TASK-b6ab3fc03178082f,740f27af8187c6d057caf5b6ecae31420690eff5436dab2db35009a522b7142a,doi:10.1109/iccvw60793.2023.00122,CORPUS-b6ab3fc03178082f,Deterministic Neural Illumination Mapping for Efficient Auto-White Balance Correction,10.1109/iccvw60793.2023.00122,,2023.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":3,""canonical_key"":""doi:10.1109/iccvw60793.2023.00122"",""claim_count"":1,""claim_id"":""TC-NOV-006"",""claim_rank"":7,""claims_json"":""[\""TC-NOV-006\""]"",""doi"":""10.1109/iccvw60793.2023.00122"",""domain_count"":1,""domains_json"":""[\""capture_variability_white_balance_and_illumination\""]"",""maximum_domain_score"":10.90309,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":76.13951333333334,""screen_decision"":""UNADJUDICATED"",""title"":""Deterministic Neural Illumination Mapping for Efficient Auto-White Balance Correction"",""unique_review_order"":34,""url"":""https://doi.org/10.1109/iccvw60793.2023.00122"",""year"":""2023.0""}",[]
9,DISPOSITION-TASK-e6236613e4733a0d,1da5818e56ce1feb51275429fa5c09adde451559c5bdff5eed7598526dbaee6b,doi:10.1109/tip.2017.2764264,CORPUS-e6236613e4733a0d,A Data Set for Camera-Independent Color Constancy,10.1109/tip.2017.2764264,,2018.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":4,""canonical_key"":""doi:10.1109/tip.2017.2764264"",""claim_count"":1,""claim_id"":""TC-NOV-006"",""claim_rank"":11,""claims_json"":""[\""TC-NOV-006\""]"",""doi"":""10.1109/tip.2017.2764264"",""domain_count"":1,""domains_json"":""[\""capture_variability_white_balance_and_illumination\""]"",""maximum_domain_score"":10.255273,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":66.510546,""screen_decision"":""UNADJUDICATED"",""title"":""A Data Set for Camera-Independent Color Constancy"",""unique_review_order"":36,""url"":""https://doi.org/10.1109/tip.2017.2764264"",""year"":""2018.0""}",[]
10,DISPOSITION-TASK-3043caf9e757ba1d,4be0c14395b3992930bb8f8bf1855a0737fe64cf245a0f9abc6abd960ff42bc4,doi:10.1109/wacvw60836.2024.00067,CORPUS-3043caf9e757ba1d,Does the Fairness of Your Pre-Training Hold Up? Examining the Influence of Pre-Training Techniques on Skin Tone Bias in Skin Lesion Classification,10.1109/wacvw60836.2024.00067,,2024.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":8,""canonical_key"":""doi:10.1109/wacvw60836.2024.00067"",""claim_count"":1,""claim_id"":""TC-NOV-004"",""claim_rank"":13,""claims_json"":""[\""TC-NOV-004\""]"",""doi"":""10.1109/wacvw60836.2024.00067"",""domain_count"":1,""domains_json"":""[\""dermatology_ai_fairness_and_skin_tone\""]"",""maximum_domain_score"":13.345098,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":60.190196,""screen_decision"":""UNADJUDICATED"",""title"":""Does the Fairness of Your Pre-Training Hold Up? Examining the Influence of Pre-Training Techniques on Skin Tone Bias in Skin Lesion Classification"",""unique_review_order"":41,""url"":""https://doi.org/10.1109/wacvw60836.2024.00067"",""year"":""2024.0""}",[]
11,DISPOSITION-TASK-a9aa478e6b533356,5174c483e4e60ed486cc76d2eadefc402ce7eee3bbfa910665136b425f930f63,doi:10.1111/ics.12147,CORPUS-a9aa478e6b533356,Determination of melanin types and relative concentrations: an observational study using a non‐invasive inverse skin reflectance analysis,10.1111/ics.12147,,2014.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":3,""canonical_key"":""doi:10.1111/ics.12147"",""claim_count"":2,""claim_id"":""TC-NOV-001"",""claim_rank"":9,""claims_json"":""[\""TC-NOV-001\"",\""TC-NOV-005\""]"",""doi"":""10.1111/ics.12147"",""domain_count"":1,""domains_json"":""[\""skin_reflectance_inverse_models\""]"",""maximum_domain_score"":15.954243,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":91.24181933333334,""screen_decision"":""UNADJUDICATED"",""title"":""Determination of melanin types and relative concentrations: an observational study using a non\u2010invasive inverse skin reflectance analysis"",""unique_review_order"":28,""url"":""https://doi.org/10.1111/ics.12147"",""year"":""2014.0""}",[]
12,DISPOSITION-TASK-65e3bb54b0d7adc4,b732f0ad6b42313f3f282a459eca95fcfce436fc55785d942dbd6fc018d1507f,doi:10.1111/ijd.70452,CORPUS-65e3bb54b0d7adc4,Diagnostic Accuracy of Three Large Language Models on Clinical Images Varies by Skin Tone: Findings From the Stanford Diverse Dermatology Images Dataset,10.1111/ijd.70452,,2026.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":5,""canonical_key"":""doi:10.1111/ijd.70452"",""claim_count"":1,""claim_id"":""TC-NOV-004"",""claim_rank"":11,""claims_json"":""[\""TC-NOV-004\""]"",""doi"":""10.1111/ijd.70452"",""domain_count"":1,""domains_json"":""[\""dermatology_dataset_duplicates_labels_and_quality\""]"",""maximum_domain_score"":10.0,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":61.0,""screen_decision"":""UNADJUDICATED"",""title"":""Diagnostic Accuracy of Three Large Language Models on Clinical Images Varies by Skin Tone: Findings From the Stanford Diverse Dermatology Images Dataset"",""unique_review_order"":37,""url"":""https://doi.org/10.1111/ijd.70452"",""year"":""2026.0""}",[]
13,DISPOSITION-TASK-e7f3fc0263e72f79,1876b15295fa4662d4e7aeadde43150886495677311badd596ea83fb2dd83d0b,doi:10.1111/j.1600-0846.1997.tb00191.x,CORPUS-e7f3fc0263e72f79,A comparison between a tristimulus colorimeter (Minolta ChromaMeter CR‐200) and two spectrophotometers (Minolta Spectrophotometer CM‐508i and CM‐2002). Quantification of UV‐B induced erythema in a hairless guinea pig model,10.1111/j.1600-0846.1997.tb00191.x,,1997.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":3,""canonical_key"":""doi:10.1111/j.1600-0846.1997.tb00191.x"",""claim_count"":1,""claim_id"":""TC-NOV-003"",""claim_rank"":15,""claims_json"":""[\""TC-NOV-003\""]"",""doi"":""10.1111/j.1600-0846.1997.tb00191.x"",""domain_count"":1,""domains_json"":""[\""skin_colorimetry_ita_and_color_measurement\""]"",""maximum_domain_score"":11.113943,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":76.56121933333334,""screen_decision"":""INCLUDE_CONTEXTUAL"",""title"":""A comparison between a tristimulus colorimeter (Minolta ChromaMeter CR\u2010200) and two spectrophotometers (Minolta Spectrophotometer CM\u2010508i and CM\u20102002). Quantification of UV\u2010B induced erythema in a hairless guinea pig model"",""unique_review_order"":46,""url"":""https://doi.org/10.1111/j.1600-0846.1997.tb00191.x"",""year"":""1997.0""}",[]
14,DISPOSITION-TASK-5916f5967be4db17,2744ae24ca7fc888f04a901e335a661deeeef9cc624dbd03f6678b9cb8662c4f,doi:10.1111/srt.12396,CORPUS-5916f5967be4db17,"SpectraCam<sup>®</sup>: A new polarized hyperspectral imaging system for repeatable and reproducible in vivo skin quantification of melanin, total hemoglobin, and oxygen saturation",10.1111/srt.12396,,2018.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":6,""canonical_key"":""doi:10.1111/srt.12396"",""claim_count"":1,""claim_id"":""TC-NOV-001"",""claim_rank"":15,""claims_json"":""[\""TC-NOV-001\""]"",""doi"":""10.1111/srt.12396"",""domain_count"":2,""domains_json"":""[\""fisher_information_and_cramer_rao_skin_imaging\"",\""melanin_hemoglobin_and_scattering_identifiability\""]"",""maximum_domain_score"":11.623249,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":76.91316466666666,""screen_decision"":""UNADJUDICATED"",""title"":""SpectraCam<sup>\u00ae</sup>: A new polarized hyperspectral imaging system for repeatable and reproducible in vivo skin quantification of melanin, total hemoglobin, and oxygen saturation"",""unique_review_order"":45,""url"":""https://doi.org/10.1111/srt.12396"",""year"":""2018.0""}",[]
15,DISPOSITION-TASK-45015e13a1263d20,a43a8e9be26469f994c48a7c93c054ed2be7549698d101c2286808586849fd9c,doi:10.1111/srt.12421,CORPUS-45015e13a1263d20,Analysis of the influence of collagen fibres in the dermis on skin optical reflectance by Monte Carlo simulation in a nine‐layered skin model,10.1111/srt.12421,,2018.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":4,""canonical_key"":""doi:10.1111/srt.12421"",""claim_count"":2,""claim_id"":""TC-NOV-001"",""claim_rank"":12,""claims_json"":""[\""TC-NOV-001\"",\""TC-NOV-005\""]"",""doi"":""10.1111/srt.12421"",""domain_count"":1,""domains_json"":""[\""skin_tissue_optical_forward_models\""]"",""maximum_domain_score"":16.079181,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":83.158362,""screen_decision"":""UNADJUDICATED"",""title"":""Analysis of the influence of collagen fibres in the dermis on skin optical reflectance by Monte Carlo simulation in a nine\u2010layered skin model"",""unique_review_order"":33,""url"":""https://doi.org/10.1111/srt.12421"",""year"":""2018.0""}",[]
